::1 - - [10/Jul/2015:16:13:15 -0500] "GET /test.php HTTP/1.1" 200 18239 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
::1 - - [15/Jul/2015:16:02:25 -0500] "GET / HTTP/1.1" 200 3603 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
::1 - - [15/Jul/2015:16:44:15 -0500] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 (internal dummy connection)"
::1 - - [15/Jul/2015:16:44:15 -0500] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 (internal dummy connection)"
::1 - - [15/Jul/2015:16:44:15 -0500] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 (internal dummy connection)"
::1 - - [15/Jul/2015:16:44:15 -0500] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 (internal dummy connection)"
::1 - - [15/Jul/2015:16:44:15 -0500] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 (internal dummy connection)"
::1 - - [16/Jul/2015:15:48:58 -0500] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 (internal dummy connection)"
::1 - - [16/Jul/2015:15:48:58 -0500] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 (internal dummy connection)"
::1 - - [16/Jul/2015:15:48:58 -0500] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 (internal dummy connection)"
::1 - - [16/Jul/2015:15:48:58 -0500] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 (internal dummy connection)"
::1 - - [16/Jul/2015:15:48:58 -0500] "OPTIONS * HTTP/1.0" 200 125 "-" "Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.11 (internal dummy connection)"
10.0.2.2 - - [16/Jul/2015:16:27:09 -0500] "GET / HTTP/1.1" 200 396 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
10.0.2.2 - - [16/Jul/2015:16:27:09 -0500] "GET /favicon.ico HTTP/1.1" 404 499 "http://localhost/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
10.0.2.2 - - [16/Jul/2015:16:27:56 -0500] "GET / HTTP/1.1" 200 474 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
10.0.2.2 - - [16/Jul/2015:16:31:23 -0500] "GET / HTTP/1.1" 200 474 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
10.0.2.2 - - [16/Jul/2015:16:31:24 -0500] "GET / HTTP/1.1" 200 473 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
10.0.2.2 - - [16/Jul/2015:16:33:47 -0500] "GET / HTTP/1.1" 200 474 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
10.0.2.2 - - [16/Jul/2015:16:38:22 -0500] "GET / HTTP/1.1" 200 438 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
10.0.2.2 - - [16/Jul/2015:16:41:15 -0500] "GET / HTTP/1.1" 200 352 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36"
